Id,Label,PageRank,InDegree,OutDegree,Community,Url
772920,hep-th/9512062,101.56462165642841,328,13,658293,https://arxiv.org/abs/hep-th/9512062
792942,hep-th/9611202,53.121428677440065,193,15,658293,https://arxiv.org/abs/hep-th/9611202
523272,gr-qc/0204090,33.02095657309649,156,13,66152,https://arxiv.org/abs/gr-qc/0204090
164580,1312.6120,83.09492392051494,171,0,697359,https://arxiv.org/abs/1312.6120
963714,1302.4389,79.06133594165892,147,2,697359,https://arxiv.org/abs/1302.4389
598764,math/9807049,49.008091607455505,94,0,391291,https://arxiv.org/abs/math/9807049
120288,0706.1062,39.35368009446908,109,2,880265,https://arxiv.org/abs/0706.1062
216570,hep-lat/9609035,35.01323426913438,218,8,243139,https://arxiv.org/abs/hep-lat/9609035
739794,astro-ph/9806374,56.45168036253658,31,1,12886,https://arxiv.org/abs/astro-ph/9806374
221190,astro-ph/9506070,43.619404639633466,140,4,627932,https://arxiv.org/abs/astro-ph/9506070
623730,hep-th/9602022,99.86593050480023,910,21,48666,https://arxiv.org/abs/hep-th/9602022
390552,hep-th/9212043,122.11575441034522,57,3,541031,https://arxiv.org/abs/hep-th/9212043
371322,hep-th/9606185,47.30673779377661,235,30,20620,https://arxiv.org/abs/hep-th/9606185
437946,astro-ph/0510346,47.2370276406401,474,0,436554,https://arxiv.org/abs/astro-ph/0510346
886890,quant-ph/9505019,35.34900026768467,11,5,599207,https://arxiv.org/abs/quant-ph/9505019
295428,1411.6836,47.22414035275845,6,1,697359,https://arxiv.org/abs/1411.6836
460278,hep-th/9604042,50.38218462986869,214,15,20620,https://arxiv.org/abs/hep-th/9604042
19794,1202.1499,35.19161166921193,94,0,94099,https://arxiv.org/abs/1202.1499
834888,hep-th/9906038,53.149110965631024,464,10,747419,https://arxiv.org/abs/hep-th/9906038
872796,cond-mat/0604211,44.018630664667874,34,5,328354,https://arxiv.org/abs/cond-mat/0604211
535572,quant-ph/9707002,42.935547601255514,66,7,599207,https://arxiv.org/abs/quant-ph/9707002
611070,hep-th/9301042,40.796599555076085,861,0,749052,https://arxiv.org/abs/hep-th/9301042
616554,hep-th/9803131,96.6128346425406,1993,52,95741,https://arxiv.org/abs/hep-th/9803131
352992,astro-ph/9506094,33.05287302040749,4,1,957629,https://arxiv.org/abs/astro-ph/9506094
331182,hep-th/9603142,65.917075121983,819,4,658293,https://arxiv.org/abs/hep-th/9603142
402486,1212.0901,103.80819132769776,8,2,843965,https://arxiv.org/abs/1212.0901
857862,hep-ph/0312045,38.83581021267865,521,8,126308,https://arxiv.org/abs/hep-ph/0312045
292704,astro-ph/9808264,92.8009494607322,81,18,12886,https://arxiv.org/abs/astro-ph/9808264
359286,gr-qc/0405109,60.04638435865631,968,0,804794,https://arxiv.org/abs/gr-qc/0405109
362652,gr-qc/0110034,48.652471574744325,494,220,353358,https://arxiv.org/abs/gr-qc/0110034
594288,hep-ph/0412158,78.20907918391069,617,937,594288,https://arxiv.org/abs/hep-ph/0412158
566406,math/0212321,33.94745251514934,39,0,659872,https://arxiv.org/abs/math/0212321
870270,hep-th/9801076,40.42541818550462,43,19,506615,https://arxiv.org/abs/hep-th/9801076
439632,hep-ph/0103234,31.1342673502867,90,4,436635,https://arxiv.org/abs/hep-ph/0103234
893040,hep-ph/9804398,137.44215277115853,1837,2,513963,https://arxiv.org/abs/hep-ph/9804398
528997,1306.2144,33.07222111170135,332,6,499007,https://arxiv.org/abs/1306.2144
854647,hep-ph/0204244,36.479730157490216,867,28,322217,https://arxiv.org/abs/hep-ph/0204244
235597,1411.4389,32.12030103125099,96,6,377304,https://arxiv.org/abs/1411.4389
866677,astro-ph/0609591,111.54434497487505,811,0,246082,https://arxiv.org/abs/astro-ph/0609591
739879,astro-ph/0603449,318.3199131820484,2934,6,246082,https://arxiv.org/abs/astro-ph/0603449
819295,hep-th/9804085,38.04531248995559,540,21,694925,https://arxiv.org/abs/hep-th/9804085
620653,0812.5023,51.45571424599743,352,7,398101,https://arxiv.org/abs/0812.5023
532255,hep-ph/0010175,42.294042872979524,367,22,750425,https://arxiv.org/abs/hep-ph/0010175
801061,1606.01540,31.771105388411723,293,3,933208,https://arxiv.org/abs/1606.01540
476803,hep-ph/9511228,32.86228509278389,47,0,594288,https://arxiv.org/abs/hep-ph/9511228
90301,hep-th/9510016,127.25493753398348,5,5,658293,https://arxiv.org/abs/hep-th/9510016
288739,astro-ph/9803073,104.22391848714284,31,4,957629,https://arxiv.org/abs/astro-ph/9803073
773407,1409.0575,110.2612468044692,182,8,697359,https://arxiv.org/abs/1409.0575
162847,hep-ph/0002213,31.001783976016263,138,20,226963,https://arxiv.org/abs/hep-ph/0002213
850033,hep-ph/9403226,40.478715996102615,820,10,541704,https://arxiv.org/abs/hep-ph/9403226
229015,hep-th/9905210,30.605142438392793,265,48,345230,https://arxiv.org/abs/hep-th/9905210
828265,cond-mat/0310405,31.675688618824168,85,18,370064,https://arxiv.org/abs/cond-mat/0310405
361669,1607.02533,36.503008105214896,310,7,778300,https://arxiv.org/abs/1607.02533
840115,hep-ph/0007221,36.55590070774696,22,0,217372,https://arxiv.org/abs/hep-ph/0007221
551869,quant-ph/9605031,38.87576175107871,25,17,348415,https://arxiv.org/abs/quant-ph/9605031
268885,1006.0448,63.50785368557872,18,0,670118,https://arxiv.org/abs/1006.0448
566227,nucl-ex/0112006,30.538328429286615,55,4,107844,https://arxiv.org/abs/nucl-ex/0112006
231715,1412.7062,35.91341487166278,204,16,697359,https://arxiv.org/abs/1412.7062
681685,astro-ph/9809268,54.362787280293844,67,6,304946,https://arxiv.org/abs/astro-ph/9809268
723355,hep-th/9402032,162.15314959348285,193,3,658293,https://arxiv.org/abs/hep-th/9402032
263107,hep-th/9602065,73.99711365391622,386,10,395176,https://arxiv.org/abs/hep-th/9602065
689617,hep-th/9507090,53.266276355070474,200,0,259100,https://arxiv.org/abs/hep-th/9507090
722707,hep-ph/0002297,40.11365716306338,257,13,740215,https://arxiv.org/abs/hep-ph/0002297
861061,1206.1106,470.1208092144573,19,2,370710,https://arxiv.org/abs/1206.1106
630469,0905.2980,51.76394831852096,3,2,175862,https://arxiv.org/abs/0905.2980
78175,hep-th/9508143,140.3893811220068,390,12,658293,https://arxiv.org/abs/hep-th/9508143
464029,hep-th/9302109,68.8001817591416,31,0,610437,https://arxiv.org/abs/hep-th/9302109
848623,hep-ex/0505038,139.07246215768743,150,1,13819,https://arxiv.org/abs/hep-ex/0505038
475219,astro-ph/0004176,57.3387591559193,194,9,471993,https://arxiv.org/abs/astro-ph/0004176
429679,astro-ph/0310662,33.012600024820294,41,1,552237,https://arxiv.org/abs/astro-ph/0310662
691771,hep-th/9604128,87.25013751778803,95,4,52066,https://arxiv.org/abs/hep-th/9604128
924067,cond-mat/0309010,35.255673734956616,68,7,846567,https://arxiv.org/abs/cond-mat/0309010
