Source,Target,Type
243740,371166,Directed
243740,485511,Directed
243740,493107,Directed
243740,765295,Directed
243740,837286,Directed
243740,861535,Directed
243740,880450,Directed
243740,917164,Directed
251169,198307,Directed
251169,466896,Directed
251169,917287,Directed
252284,145820,Directed
252284,164580,Directed
252284,509561,Directed
252284,963714,Directed
252546,404597,Directed
252546,473193,Directed
252546,572230,Directed
252546,935380,Directed
254837,243740,Directed
254837,269905,Directed
254837,343585,Directed
254837,361524,Directed
254837,473193,Directed
254837,520293,Directed
254837,703443,Directed
254837,713786,Directed
254837,733170,Directed
254837,847044,Directed
254837,858073,Directed
254837,880450,Directed
254837,897156,Directed
254837,955142,Directed
255424,235283,Directed
256009,66345,Directed
256009,908732,Directed
256009,966109,Directed
257049,288739,Directed
257490,17491,Directed
258304,180642,Directed
258304,313048,Directed
258304,475002,Directed
258304,775288,Directed
258949,80772,Directed
258949,235334,Directed
260137,240834,Directed
262703,99906,Directed
262703,337782,Directed
262703,394026,Directed
263107,466896,Directed
263107,622820,Directed
263107,655211,Directed
263107,837286,Directed
263107,861535,Directed
264441,658402,Directed
265167,133079,Directed
265167,325382,Directed
265167,503187,Directed
265167,584320,Directed
265167,673140,Directed
265167,682577,Directed
269137,50277,Directed
269137,234063,Directed
269137,688410,Directed
269137,849711,Directed
269137,893040,Directed
269137,908732,Directed
269905,358453,Directed
269905,703443,Directed
269905,733170,Directed
269905,847044,Directed
269905,886143,Directed
270919,464007,Directed
277250,552577,Directed
278800,453466,Directed
283876,412584,Directed
284560,33428,Directed
284560,112993,Directed
284560,118533,Directed
284560,389279,Directed
284560,622820,Directed
284560,624049,Directed
284560,651766,Directed
284560,652747,Directed
284560,675871,Directed
284560,769932,Directed
284755,163529,Directed
285619,622212,Directed
285619,693228,Directed
292704,236896,Directed
292704,313048,Directed
293406,33428,Directed
293406,315940,Directed
293406,655211,Directed
293406,689617,Directed
294688,143022,Directed
294688,230550,Directed
294688,528997,Directed
294688,582085,Directed
294688,784533,Directed
294688,869541,Directed
296216,388677,Directed
296330,115432,Directed
296330,331182,Directed
296330,337782,Directed
296330,352724,Directed
296330,457515,Directed
296330,466896,Directed
296330,624049,Directed
296330,652747,Directed
296330,675871,Directed
296330,760664,Directed
296330,817255,Directed
296330,886143,Directed
299942,4231,Directed
299942,453466,Directed
299942,621083,Directed
299942,749126,Directed
301008,62322,Directed
301008,203378,Directed
301008,383225,Directed
301008,772801,Directed
311903,268885,Directed
312310,82196,Directed
313048,312310,Directed
313531,46253,Directed
313531,181552,Directed
313531,810489,Directed
313669,115432,Directed
313669,394026,Directed
313669,623730,Directed
314687,76099,Directed
314687,959484,Directed
323603,36606,Directed
323603,642729,Directed
323603,789840,Directed
324923,170810,Directed
324923,277250,Directed
324923,516216,Directed
324923,635489,Directed
324923,650196,Directed
324923,915341,Directed
325382,283876,Directed
328310,163,Directed
328310,818148,Directed
330419,108058,Directed
330419,151670,Directed
330419,339105,Directed
330419,570165,Directed
330419,769932,Directed
330419,861535,Directed
331182,827256,Directed
332552,313048,Directed
332552,952443,Directed
334615,390552,Directed
334615,504752,Directed
334615,957301,Directed
336475,80629,Directed
336475,105933,Directed
336475,157440,Directed
336475,205732,Directed
336475,252546,Directed
336475,262703,Directed
336475,490739,Directed
336475,628125,Directed
336475,635536,Directed
336475,824622,Directed
336475,860045,Directed
336545,154886,Directed
