Id,Label,PageRank,InDegree,OutDegree,Community,NeighborCommunities,BridgeScore,VizLabel,Url
624049,"hep-th/9501030",157.4892544357679,95,12,658293,4,629.9570177430716,"hep-th/9501030 (nComm=4, bScore=629.957)",https://arxiv.org/abs/hep-th/9501030
836203,"quant-ph/9604034",101.53332398995673,106,5,348415,2,203.06664797991345,"quant-ph/9604034 (nComm=2, bScore=203.067)",https://arxiv.org/abs/quant-ph/9604034
76099,"hep-ph/0603175",125.92547518439396,4021,38,322217,1,125.92547518439396,"hep-ph/0603175 (nComm=1, bScore=125.925)",https://arxiv.org/abs/hep-ph/0603175
739879,"astro-ph/0603449",318.3199131820484,2934,6,246082,3,954.9597395461453,"astro-ph/0603449 (nComm=3, bScore=954.960)",https://arxiv.org/abs/astro-ph/0603449
848623,"hep-ex/0505038",139.07246215768743,150,1,13819,1,139.07246215768743,"hep-ex/0505038 (nComm=1, bScore=139.072)",https://arxiv.org/abs/hep-ex/0505038
362095,"cond-mat/0407066",147.71094010522188,586,6,104883,0,0.0,"cond-mat/0407066 (nComm=0, bScore=0.000)",https://arxiv.org/abs/cond-mat/0407066
723355,"hep-th/9402032",162.15314959348285,193,3,658293,3,486.45944878044855,"hep-th/9402032 (nComm=3, bScore=486.459)",https://arxiv.org/abs/hep-th/9402032
773407,"1409.0575",110.2612468044692,182,8,697359,2,220.5224936089384,"1409.0575 (nComm=2, bScore=220.522)",https://arxiv.org/abs/1409.0575
340315,"1012.2599",99.4718913018092,169,2,82400,0,0.0,"1012.2599 (nComm=0, bScore=0.000)",https://arxiv.org/abs/1012.2599
861061,"1206.1106",470.1208092144573,19,2,370710,3,1410.362427643372,"1206.1106 (nComm=3, bScore=1410.362)",https://arxiv.org/abs/1206.1106
725809,"1511.06434",90.58847277138396,1021,17,787631,3,271.7654183141519,"1511.06434 (nComm=3, bScore=271.765)",https://arxiv.org/abs/1511.06434
765349,"1406.1078",86.39371502378766,733,2,843965,2,172.78743004757533,"1406.1078 (nComm=2, bScore=172.787)",https://arxiv.org/abs/1406.1078
269137,"hep-th/9906064",150.30097119474547,2891,13,345230,4,601.2038847789819,"hep-th/9906064 (nComm=4, bScore=601.204)",https://arxiv.org/abs/hep-th/9906064
912619,"hep-th/9406128",121.75782689224863,24,6,658293,3,365.27348067674586,"hep-th/9406128 (nComm=3, bScore=365.273)",https://arxiv.org/abs/hep-th/9406128
429223,"1308.4214",231.99508504088914,68,1,697359,2,463.9901700817783,"1308.4214 (nComm=2, bScore=463.990)",https://arxiv.org/abs/1308.4214
675871,"hep-th/9602052",166.00976345280162,506,34,658293,6,996.0585807168097,"hep-th/9602052 (nComm=6, bScore=996.059)",https://arxiv.org/abs/hep-th/9602052
169357,"1403.6382",82.90105612704508,67,2,697359,2,165.80211225409016,"1403.6382 (nComm=2, bScore=165.802)",https://arxiv.org/abs/1403.6382
288739,"astro-ph/9803073",104.22391848714284,31,4,957629,1,104.22391848714284,"astro-ph/9803073 (nComm=1, bScore=104.224)",https://arxiv.org/abs/astro-ph/9803073
686503,"quant-ph/9707021",105.16251842438305,499,8,817561,4,420.6500736975322,"quant-ph/9707021 (nComm=4, bScore=420.650)",https://arxiv.org/abs/quant-ph/9707021
234571,"hep-th/9506194",170.63849224987246,87,9,658293,1,170.63849224987246,"hep-th/9506194 (nComm=1, bScore=170.638)",https://arxiv.org/abs/hep-th/9506194
616279,"hep-th/9404151",105.60846405155601,130,2,658293,2,211.21692810311202,"hep-th/9404151 (nComm=2, bScore=211.217)",https://arxiv.org/abs/hep-th/9404151
256009,"hep-ph/9803466",122.98205239650899,340,3,677654,1,122.98205239650899,"hep-ph/9803466 (nComm=1, bScore=122.982)",https://arxiv.org/abs/hep-ph/9803466
411493,"1311.2524",169.9215891911034,121,1,697359,3,509.7647675733102,"1311.2524 (nComm=3, bScore=509.765)",https://arxiv.org/abs/1311.2524
762859,"astro-ph/0302209",201.28043945402052,2517,16,246082,3,603.8413183620615,"astro-ph/0302209 (nComm=3, bScore=603.841)",https://arxiv.org/abs/astro-ph/0302209
842005,"hep-th/9307168",133.4595299293746,94,0,117390,2,266.9190598587492,"hep-th/9307168 (nComm=2, bScore=266.919)",https://arxiv.org/abs/hep-th/9307168
164407,"1502.03167",184.0011511559878,1242,4,697359,2,368.0023023119756,"1502.03167 (nComm=2, bScore=368.002)",https://arxiv.org/abs/1502.03167
866677,"astro-ph/0609591",111.54434497487505,811,0,246082,2,223.0886899497501,"astro-ph/0609591 (nComm=2, bScore=223.089)",https://arxiv.org/abs/astro-ph/0609591
817255,"hep-th/9507050",187.76558067397715,199,16,658293,2,375.5311613479543,"hep-th/9507050 (nComm=2, bScore=375.531)",https://arxiv.org/abs/hep-th/9507050
78175,"hep-th/9508143",140.3893811220068,390,12,658293,2,280.7787622440136,"hep-th/9508143 (nComm=2, bScore=280.779)",https://arxiv.org/abs/hep-th/9508143
658225,"quant-ph/0001106",168.1889453843978,561,3,495571,1,168.1889453843978,"quant-ph/0001106 (nComm=1, bScore=168.189)",https://arxiv.org/abs/quant-ph/0001106
861535,"hep-th/9408074",244.77721270072672,533,2,658293,4,979.1088508029069,"hep-th/9408074 (nComm=4, bScore=979.109)",https://arxiv.org/abs/hep-th/9408074
139663,"1310.1531",393.40116492964387,186,2,697359,3,1180.2034947889315,"1310.1531 (nComm=3, bScore=1180.203)",https://arxiv.org/abs/1310.1531
886147,"1312.4400",149.96939807307862,424,8,697359,1,149.96939807307862,"1312.4400 (nComm=1, bScore=149.969)",https://arxiv.org/abs/1312.4400
652747,"hep-th/9503124",352.68046573116794,1192,7,658293,6,2116.0827943870077,"hep-th/9503124 (nComm=6, bScore=2116.083)",https://arxiv.org/abs/hep-th/9503124
698186,"hep-th/9510169",158.9345916513051,433,4,658293,3,476.8037749539153,"hep-th/9510169 (nComm=3, bScore=476.804)",https://arxiv.org/abs/hep-th/9510169
214448,"math/0211159",285.30709867164353,925,1,723276,1,285.30709867164353,"math/0211159 (nComm=1, bScore=285.307)",https://arxiv.org/abs/math/0211159
805016,"hep-th/9308100",104.2086813015629,111,3,158248,3,312.6260439046887,"hep-th/9308100 (nComm=3, bScore=312.626)",https://arxiv.org/abs/hep-th/9308100
425060,"hep-th/9305068",112.65947035588589,49,0,487873,1,112.65947035588589,"hep-th/9305068 (nComm=1, bScore=112.659)",https://arxiv.org/abs/hep-th/9305068
45980,"quant-ph/9602019",81.67197010122165,48,3,348415,2,163.3439402024433,"quant-ph/9602019 (nComm=2, bScore=163.344)",https://arxiv.org/abs/quant-ph/9602019
908732,"hep-ph/9803315",249.67890386983333,2372,1,513963,4,998.7156154793333,"hep-ph/9803315 (nComm=4, bScore=998.716)",https://arxiv.org/abs/hep-ph/9803315
652916,"hep-ph/9709356",86.85420321872658,1912,453,181332,3,260.56260965617975,"hep-ph/9709356 (nComm=3, bScore=260.563)",https://arxiv.org/abs/hep-ph/9709356
460550,"hep-th/9504090",327.31495393590114,424,9,658293,2,654.6299078718023,"hep-th/9504090 (nComm=2, bScore=654.630)",https://arxiv.org/abs/hep-th/9504090
622820,"hep-th/9602051",81.09404488105343,231,22,20620,6,486.5642692863206,"hep-th/9602051 (nComm=6, bScore=486.564)",https://arxiv.org/abs/hep-th/9602051
33428,"hep-th/9601029",179.84408903933019,1528,21,259100,8,1438.7527123146415,"hep-th/9601029 (nComm=8, bScore=1438.753)",https://arxiv.org/abs/hep-th/9601029
421466,"1409.4842",322.08406493896996,571,6,697359,3,966.2521948169099,"1409.4842 (nComm=3, bScore=966.252)",https://arxiv.org/abs/1409.4842
713786,"hep-th/9802109",346.7555509106864,5819,14,218682,4,1387.0222036427456,"hep-th/9802109 (nComm=4, bScore=1387.022)",https://arxiv.org/abs/hep-th/9802109
299942,"hep-ph/0011333",103.88815637777978,743,109,67094,1,103.88815637777978,"hep-ph/0011333 (nComm=1, bScore=103.888)",https://arxiv.org/abs/hep-ph/0011333
75122,"quant-ph/9601029",142.37502114438098,108,0,348415,3,427.12506343314294,"quant-ph/9601029 (nComm=3, bScore=427.125)",https://arxiv.org/abs/quant-ph/9601029
566348,"1410.5401",80.58452248164359,436,3,843965,1,80.58452248164359,"1410.5401 (nComm=1, bScore=80.585)",https://arxiv.org/abs/1410.5401
760664,"hep-th/9510161",110.71317206341233,212,13,658293,3,332.139516190237,"hep-th/9510161 (nComm=3, bScore=332.140)",https://arxiv.org/abs/hep-th/9510161
695630,"hep-th/9507158",83.80967095975453,506,17,658293,1,83.80967095975453,"hep-th/9507158 (nComm=1, bScore=83.810)",https://arxiv.org/abs/hep-th/9507158
272006,"1301.3781",324.23687985403114,1266,0,308481,2,648.4737597080623,"1301.3781 (nComm=2, bScore=648.474)",https://arxiv.org/abs/1301.3781
325382,"hep-ph/9903282",95.14243888899786,601,41,322217,1,95.14243888899786,"hep-ph/9903282 (nComm=1, bScore=95.142)",https://arxiv.org/abs/hep-ph/9903282
809936,"hep-th/9407087",349.8492455079634,1703,7,80094,6,2099.0954730477806,"hep-th/9407087 (nComm=6, bScore=2099.095)",https://arxiv.org/abs/hep-th/9407087
469958,"hep-th/9908142",124.59776533259698,2372,79,271284,5,622.9888266629849,"hep-th/9908142 (nComm=5, bScore=622.989)",https://arxiv.org/abs/hep-th/9908142
243740,"hep-th/9411149",145.12664296610222,974,13,358445,4,580.5065718644089,"hep-th/9411149 (nComm=4, bScore=580.507)",https://arxiv.org/abs/hep-th/9411149
716630,"hep-th/0510092",84.71643364416062,266,1,644835,1,84.71643364416062,"hep-th/0510092 (nComm=1, bScore=84.716)",https://arxiv.org/abs/hep-th/0510092
367748,"hep-th/9511030",115.82013742934181,498,6,658293,5,579.1006871467091,"hep-th/9511030 (nComm=5, bScore=579.101)",https://arxiv.org/abs/hep-th/9511030
182990,"cond-mat/0510613",84.92027010657523,173,1,644835,1,84.92027010657523,"cond-mat/0510613 (nComm=1, bScore=84.920)",https://arxiv.org/abs/cond-mat/0510613
602762,"hep-th/9611042",81.83119452815208,313,22,281673,5,409.1559726407604,"hep-th/9611042 (nComm=5, bScore=409.156)",https://arxiv.org/abs/hep-th/9611042
296216,"nucl-th/0110037",105.80022549684854,445,10,436635,1,105.80022549684854,"nucl-th/0110037 (nComm=1, bScore=105.800)",https://arxiv.org/abs/nucl-th/0110037
430832,"hep-th/9411057",92.40765677007472,283,4,80094,3,277.2229703102242,"hep-th/9411057 (nComm=3, bScore=277.223)",https://arxiv.org/abs/hep-th/9411057
653288,"hep-th/9510086",86.63236391233374,236,23,658293,2,173.2647278246675,"hep-th/9510086 (nComm=2, bScore=173.265)",https://arxiv.org/abs/hep-th/9510086
3344,"1311.3715",146.28146653547597,29,1,697359,2,292.56293307095194,"1311.3715 (nComm=2, bScore=292.563)",https://arxiv.org/abs/1311.3715
969062,"0902.1284",168.48477362264597,5,0,225734,1,168.48477362264597,"0902.1284 (nComm=1, bScore=168.485)",https://arxiv.org/abs/0902.1284
145820,"1408.5093",326.01527919453656,1046,2,970136,1,326.01527919453656,"1408.5093 (nComm=1, bScore=326.015)",https://arxiv.org/abs/1408.5093
784533,"0803.0547",149.50020046394744,2131,1,246082,2,299.0004009278949,"0803.0547 (nComm=2, bScore=299.000)",https://arxiv.org/abs/0803.0547
680817,"hep-ph/0201195",93.30838228565595,2191,53,322217,1,93.30838228565595,"hep-ph/0201195 (nComm=1, bScore=93.308)",https://arxiv.org/abs/hep-ph/0201195
601449,"hep-th/9503030",102.36312466190023,344,0,853296,1,102.36312466190023,"hep-th/9503030 (nComm=1, bScore=102.363)",https://arxiv.org/abs/hep-th/9503030
805293,"1312.6114",120.52145620784177,1180,4,787631,1,120.52145620784177,"1312.6114 (nComm=1, bScore=120.521)",https://arxiv.org/abs/1312.6114
570165,"hep-th/9410167",318.29058421788193,922,4,658293,6,1909.7435053072916,"hep-th/9410167 (nComm=6, bScore=1909.744)",https://arxiv.org/abs/hep-th/9410167
697359,"1409.1556",836.8941422866658,4035,16,711101,1,836.8941422866658,"1409.1556 (nComm=1, bScore=836.894)",https://arxiv.org/abs/1409.1556
809643,"1412.6980",590.9366354691834,5374,5,711101,6,3545.619812815101,"1412.6980 (nComm=6, bScore=3545.620)",https://arxiv.org/abs/1412.6980
68817,"quant-ph/9605011",109.48333118314663,185,6,80157,3,328.4499935494399,"quant-ph/9605011 (nComm=3, bScore=328.450)",https://arxiv.org/abs/quant-ph/9605011
485511,"hep-th/9403198",131.9756817924121,118,1,80094,2,263.9513635848242,"hep-th/9403198 (nComm=2, bScore=263.951)",https://arxiv.org/abs/hep-th/9403198
