Source,Target,Type
697359,169357,Directed
697359,411493,Directed
697359,906384,Directed
698186,663942,Directed
713786,105933,Directed
713786,330419,Directed
713786,824622,Directed
717785,650196,Directed
717785,739879,Directed
717785,924485,Directed
723355,237336,Directed
723355,425060,Directed
725809,164407,Directed
725809,809643,Directed
731658,679758,Directed
739879,718679,Directed
747071,129231,Directed
760416,330419,Directed
760416,760664,Directed
760664,78175,Directed
760664,509826,Directed
760664,570165,Directed
760664,652747,Directed
766344,272006,Directed
766344,385014,Directed
766344,604011,Directed
766344,894994,Directed
769240,296216,Directed
772920,152076,Directed
772920,330419,Directed
772920,339616,Directed
772920,698186,Directed
772920,760416,Directed
773407,139663,Directed
773407,660924,Directed
784533,718679,Directed
789840,570165,Directed
789840,652747,Directed
789840,723355,Directed
789840,861535,Directed
789840,912619,Directed
795286,538372,Directed
805016,78162,Directed
805016,842005,Directed
809643,123279,Directed
809643,861061,Directed
809936,495162,Directed
809936,765295,Directed
809936,880450,Directed
817255,460550,Directed
817255,616279,Directed
817255,953434,Directed
847044,367748,Directed
847044,817255,Directed
847044,917287,Directed
848623,685852,Directed
861061,109523,Directed
861061,347166,Directed
886143,33428,Directed
886143,847044,Directed
886143,861535,Directed
893040,908732,Directed
894994,604011,Directed
912619,425060,Directed
912619,723355,Directed
917287,663942,Directed
953434,217818,Directed
953434,624049,Directed
953434,723355,Directed
953434,762563,Directed
953434,788633,Directed
953434,789840,Directed
956944,570165,Directed
956944,652747,Directed
956944,675871,Directed
956944,772920,Directed
961542,93677,Directed
961542,256009,Directed
961542,893040,Directed
963714,245747,Directed
