Id,Label,PageRank,InDegree,OutDegree,Community,VizLabel,Url
889264,"1108.3298",367.0017025328024,1,0,787631,"1108.3298 (in=1)",https://arxiv.org/abs/1108.3298
956944,"hep-th/9610043",245.61281583046835,1797,20,658293,"hep-th/9610043 (in=1797)",https://arxiv.org/abs/hep-th/9610043
148930,"1001.4538",132.15244725282267,2791,11,246082,"1001.4538 (in=2791)",https://arxiv.org/abs/1001.4538
188152,"hep-th/9309145",373.89192068673646,425,1,259100,"hep-th/9309145 (in=425)",https://arxiv.org/abs/hep-th/9309145
685852,"hep-ex/0505037",138.84448800843268,212,1,13819,"hep-ex/0505037 (in=212)",https://arxiv.org/abs/hep-ex/0505037
538372,"gr-qc/9310006",244.98635950483998,224,0,158248,"gr-qc/9310006 (in=224)",https://arxiv.org/abs/gr-qc/9310006
93677,"hep-th/9611050",393.3448248704955,1056,56,658293,"hep-th/9611050 (in=1056)",https://arxiv.org/abs/hep-th/9611050
245747,"1207.0580",1321.2196460568564,711,0,697359,"1207.0580 (in=711)",https://arxiv.org/abs/1207.0580
561887,"hep-th/9510209",179.99104236152684,1078,16,658293,"hep-th/9510209 (in=1078)",https://arxiv.org/abs/hep-th/9510209
197939,"quant-ph/9503016",208.07632976257182,124,5,599207,"quant-ph/9503016 (in=124)",https://arxiv.org/abs/quant-ph/9503016
717785,"1303.5076",208.8673164841711,4068,305,417408,"1303.5076 (in=4068)",https://arxiv.org/abs/1303.5076
664421,"hep-th/9305139",140.46471130028638,108,18,658293,"hep-th/9305139 (in=108)",https://arxiv.org/abs/hep-th/9305139
463517,"quant-ph/9511026",203.80083363737754,298,1,336545,"quant-ph/9511026 (in=298)",https://arxiv.org/abs/quant-ph/9511026
109523,"1206.6464",202.96703842242363,9,0,697359,"1206.6464 (in=9)",https://arxiv.org/abs/1206.6464
718679,"astro-ph/0206039",199.34038799264007,89,12,794674,"astro-ph/0206039 (in=89)",https://arxiv.org/abs/astro-ph/0206039
721631,"1301.3584",149.3453149246389,55,3,430785,"1301.3584 (in=55)",https://arxiv.org/abs/1301.3584
330419,"hep-th/9510135",300.20675919941976,954,14,658293,"hep-th/9510135 (in=954)",https://arxiv.org/abs/hep-th/9510135
